DATE,TYPE,FROMPORTFOLIO,TOPORTFOLIO,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,TOADDRESS,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID,PERSONALNOTE
Wed Jan 12 2022 12:41:13 GMT-0800 (Pacific Standard Time),withdrawal,exodus_0,,-0.07820931,MKR,-0.01038319252028315,ETH,0x35423ad6f19a8fb19d5d34449f66e004d7d824a3,0xc1647a2894abdf35b5509ac4e2ee77aba98f9433dae84230f9a387be668d05c2,https://etherscan.io/tx/0xc1647a2894abdf35b5509ac4e2ee77aba98f9433dae84230f9a387be668d05c2,,,,,,
Wed Jan 12 2022 12:42:57 GMT-0800 (Pacific Standard Time),withdrawal,exodus_0,,-125.7227927,XLM,-0.00001,XLM,GDQP2KPQGKIHYJGXNUIYOMHARUARCA7DJT5FO2FFOOKY3B2WSQHG4W37,9f865b78d2f774c668d5305d40521e4d8a71c69a5128313acce9d9c4d73ca837,https://stellar.expert/explorer/public/tx/9f865b78d2f774c668d5305d40521e4d8a71c69a5128313acce9d9c4d73ca837,,,,,,
Wed Jan 12 2022 12:43:42 GMT-0800 (Pacific Standard Time),withdrawal,exodus_0,,-10.61662663,LINK,-0.009399222258917898,ETH,0xa83c985ecb152eda1da6e731f9c3e3850c27a250,0xc5366716c0c4271393be33f8018591b9ebaa0d2229b982cdb1fd093751783183,https://etherscan.io/tx/0xc5366716c0c4271393be33f8018591b9ebaa0d2229b982cdb1fd093751783183,,,,,,
Wed Jan 12 2022 12:44:22 GMT-0800 (Pacific Standard Time),withdrawal,exodus_0,,-0.029,COMP,-0.01177650822323809,ETH,0x2d3a6b3117f7db93339dfed3fb0066826b1afd95,0x8110e662992e29758cb0b30328c0fa1b1ef7e8ff9fdd10b286b7c17c7732e678,https://etherscan.io/tx/0x8110e662992e29758cb0b30328c0fa1b1ef7e8ff9fdd10b286b7c17c7732e678,,,,,,
Wed Jan 12 2022 12:45:17 GMT-0800 (Pacific Standard Time),withdrawal,exodus_0,,-3.303775,UNI,-0.011730843754932814,ETH,0xd12f8a2af3576756b38e926c3a8c0bed83105747,0x91c0ebb7679922b73d5220cd402acdeef4d1e1e83f1b53438a0279f22c1e627d,https://etherscan.io/tx/0x91c0ebb7679922b73d5220cd402acdeef4d1e1e83f1b53438a0279f22c1e627d,,,,,,
Wed Jan 12 2022 12:46:10 GMT-0800 (Pacific Standard Time),withdrawal,exodus_0,,-57.68090798,ZRX,-0.010147029709150584,ETH,0x8299b7582ae68e318c85a635eeb85fe3a1435086,0x014a40494a001fb081c796902768c2d9627b178e1e1b02b6e998b0f2301abc9b,https://etherscan.io/tx/0x014a40494a001fb081c796902768c2d9627b178e1e1b02b6e998b0f2301abc9b,,,,,,
Wed Jan 12 2022 12:47:37 GMT-0800 (Pacific Standard Time),withdrawal,exodus_0,,-1277.01028937,CDAI,-0.0296294301467682,ETH,0x0963faf42b8430354a823ad6e7061b159cac694f,0x5c32f074923fbd6c2eee12d211584c8d6c0b9ec26d021f33fee1d366fb8099de,https://etherscan.io/tx/0x5c32f074923fbd6c2eee12d211584c8d6c0b9ec26d021f33fee1d366fb8099de,,,,,,
Wed Jan 12 2022 12:48:30 GMT-0800 (Pacific Standard Time),withdrawal,exodus_0,,0,XTZ,-0.00284,XTZ,,opTVgTAe7hKnzAjQWrzmKwwyabrgZVjiXVTipGoJGf7MEHt9ZBs,https://tzstats.com/operation/opTVgTAe7hKnzAjQWrzmKwwyabrgZVjiXVTipGoJGf7MEHt9ZBs,,,,,,
Wed Jan 12 2022 12:49:00 GMT-0800 (Pacific Standard Time),withdrawal,exodus_0,,-42.313132,XTZ,-0.00284,XTZ,tz1PM6Wk9FoKKRfaMG8CWqXHMZ6rvEWMe4Fc,oofRbmD72jfuHSicqhPk7icSCGJFvzVgH3K1B4SGJ6ZhzMsRgJ4,https://tzstats.com/operation/oofRbmD72jfuHSicqhPk7icSCGJFvzVgH3K1B4SGJ6ZhzMsRgJ4,,,,,,
Thu Jan 13 2022 10:30:30 GMT-0800 (Pacific Standard Time),deposit,,exodus_0,,,,,,,,0.017047,XTZ,ooiz9ukvxNM2QeDaBChdrj6DqrA43Y9M9kWP2BbaZHFrLrdznE2,https://tzstats.com/operation/ooiz9ukvxNM2QeDaBChdrj6DqrA43Y9M9kWP2BbaZHFrLrdznE2,,
